Name,ICAO,IATA,Latitude,Longitude,Type
RAEDHANPUR,,,68.891(E),9000 ft,Small
KESHOD,VAKS,IXK,70.270(E),4500 ft,Medium
JAISALMER,VIJR,JSA,70.865(E),9000 ft,Medium
UTTARLAI,VIUT,,71.482(E),9002 ft,Small
AGATTI,VOAT,AGX,72.176(E),4235 ft,Medium
DEESA,VADS,,72.204(E),3300 ft,Small
SURAT,VASU,STV,72.742(E),3600 ft,Medium
DAMAN,VADN,NMB,72.843(E),5909 ft,Medium
Salwas,,,73.097(E),,Closed
Airport,,,73.103(E),,Small
RATNAGIRI,VARG,RTC,73.328(E),4500 ft,Medium
NAGAUR,,,73.711(E),3853 ft,Small
SURATGARH NEW,,,73.904(E),8990 ft,Small
KARAD,,,74.158(E),4200 ft,Small
KOLHAPUR,VAKP,KLH,74.289(E),4495 ft,Medium
ONDWA,,,74.611(E),3895 ft,Small
BHATINDA,VIBT,BUP,74.756(E),9200 ft,Medium
NIMACH,,,74.868(E),3610 ft,Small
AWANTIPUR,VIAW,,74.976(E),10500 ft,Small
SIRSA,VISA,,75.006(E),8987 ft,Medium
RATLAM,,,75.026(E),3753 ft,Small
UDHAMPUR,VIUX,,75.156(E),9000 ft,Medium
JALLOWAL,,,75.341(E),4010 ft,Small
JHUNJHUNU,,,75.376(E),4567 ft,Small
BIRLAGRAM,,,75.420(E),4724 ft,Small
Khargon Govt. Airstrip,,,75.554(E),,Small
PILANI NEW,,,75.594(E),3825 ft,Small
HALWARA,VIHX,,75.630(E),8985 ft,Small
PATHANKOT,VIPK,IXP,75.635(E),8970 ft,Medium
HISSAR,VIHR,HSS,75.755(E),4000 ft,Medium
ADAMPUR,VIAX,,75.759(E),9039 ft,Small
HARIHAR,,,75.787(E),4893 ft,Small
LUDHIANA,VILD,LUH,75.953(E),4615 ft,Medium
KARGIL,,,76.156(E),6004 ft,Small
BHIWANI,VIBW,,76.179(E),3500 ft,Small
BHILWARA,,,76.205(E),3480 ft,Small
