Name,ICAO,IATA,Latitude,Longitude,Type
Daulat Beg Oldi Advanced Landing Ground,IN-0003,,35.396467,77.928965,small_airport
Walong Advanced Landing Ground,IN-0010,,28.12967300415,97.019660949707,small_airport
Jakkur Aerodrome,IN-0011,,13.07674,77.597645,small_airport
Pakyong Airport,IN-0012,PYG,27.2313,88.587196,small_airport
Nadirgul Airport,IN-0013,,17.306142,78.561004,small_airport
Baljek Airport,IN-0015,,25.661487579345703,90.34503936767578,small_airport
Amreli Airport,IN-0023,,21.621416,71.226309,small_airport
Baramati Airport,IN-0024,,18.226944,74.590833,small_airport
Maharshi Valmiki International Airport,IN-0025,AYJ,26.747736,82.163664,medium_airport
Korba Airport,IN-0026,,22.4141666667,82.7194444444,small_airport
Aamby Valley Airport,IN-0033,,18.609617,73.377583,small_airport
Vijay Nagar Airport,IN-0034,,19.8841,73.84056666670001,small_airport
INS Kohassa,IN-0053,,13.236316,93.049731,small_airport
Khargon Govt. Airstrip,IN-0060,,21.8100301946,75.55443763730001,small_airport
Khandwa Airport,IN-0061,,21.857117,76.336956,small_airport
Shirpur Airport,IN-0062,,21.3239987933,74.9567341805,small_airport
Umaria Air Field,IN-0064,,23.5325139099,80.80821990970001,small_airport
Amravati (Belora) Airstrip,IN-0065,,20.814608,77.717765,small_airport
Madhubani Airport,IN-0066,,26.329167,86.06,small_airport
Ulao Aerodrome,IN-0067,,25.42788,86.08819,small_airport
Birwa Airstrip,IN-0068,,22.092639,80.595531,small_airport
Sultanpur Airport,IN-0069,,26.2475,82.0425,small_airport
Raigarh Airport (JSPL),IN-0072,,21.9352805556,83.3502138889,small_airport
Savitri Jindal Airport,IN-0073,,20.910055,85.036669,small_airport
Barbil Tonto Airstrip,IN-0074,,22.045829,85.373468,small_airport
Bhagalpur Airport,IN-0077,,25.249535,87.011976,small_airport
Fury Airport,IN-0085,,26.434072,73.101472,small_airport
CHINDWARA AIRFIELD,IN-0086,,22.0,78.93,small_airport
Gauchar Airstrip,IN-0087,,30.284585,79.161665,small_airport
